timestep Temp E_pair E_mol TotEng Press
1875000 297.60829 -11045.739 1216.9696 -7167.4282 -8.3818734
1880000 301.59466 -10986.516 1284.6046 -7004.922 -2.8175355
1885000 309.19576 -11042.999 1176.1877 -7101.8499 -36.205216
1890000 298.8089 -11024.494 1213.4117 -7139.0045 7.5578884
1895000 306.57295 -11145.342 1225.1162 -7178.7187 -8.3831435
1900000 304.58858 -11085.137 1206.741 -7154.6339 4.5153718
1905000 301.80301 -11135.126 1272.3002 -7163.9734 40.529923
1910000 299.93576 -11114.125 1204.6175 -7227.3525 13.803416
1915000 298.98838 -11180.927 1221.5448 -7285.6996 21.130899
1920000 296.97518 -11078.047 1244.7672 -7177.6004 -4.4662876
1925000 297.33828 -11101.89 1201.9055 -7241.0573 14.380997
1930000 304.008 -11128.569 1264.3335 -7145.6655 3.8693106
1935000 296.40823 -11114.165 1182.1125 -7281.4429 -2.8021554
1940000 293.48024 -11084.408 1208.7697 -7251.2118 12.321373
1945000 302.96897 -11054.839 1196.9014 -7148.6588 21.274224
1950000 300.11948 -11168.017 1261.7093 -7222.5102 -7.1517587
1955000 306.50566 -11095.088 1237.4497 -7116.7325 -2.3337387
1960000 307.12805 -11083.302 1225.8305 -7111.0008 -16.345223
1965000 300.94707 -11148.132 1200.6886 -7256.2447 8.2836129
1970000 298.60802 -11082.178 1204.8877 -7207.0092 -16.534446
1975000 305.54831 -10994.776 1221.6691 -7040.7624 -12.46761
1980000 296.30257 -11074.283 1221.321 -7203.297 8.9891087
1985000 307.62406 -11068.909 1221.9713 -7096.0308 -15.768734
1990000 308.10603 -11106.952 1231.9256 -7119.8098 -5.6822028
1995000 292.15492 -10999.539 1226.8076 -7160.156 6.4663521
2000000 301.67602 -11087.734 1244.8616 -7145.156 35.679596
2005000 297.13467 -11085.054 1308.0145 -7119.9336 14.674635
2010000 300.47665 -11074.654 1234.3395 -7153.3228 -26.036405
2015000 303.88959 -10961.708 1228.3461 -7015.8501 -21.855246
2020000 298.03023 -11043.9 1214.0439 -7164.7417 20.248322
2025000 305.79498 -11030.16 1178.0077 -7117.6025 -16.908624
2030000 309.61976 -11062.233 1222.108 -7071.3718 -17.663742
2035000 300.26676 -11101.132 1245.3138 -7170.7037 -5.1463823
2040000 292.0237 -11024.248 1226.5258 -7186.3211 -2.7512022
2045000 297.38484 -11050.218 1243.5599 -7147.3149 -21.497232
2050000 291.25845 -11126.141 1233.584 -7287.9991 -17.270561
2055000 305.51115 -11074.228 1319.2889 -7022.9269 -34.678807
2060000 304.45914 -10992.468 1225.6568 -7044.2063 -0.24419883
2065000 297.66762 -10944.83 1237.584 -7045.3741 0.046992527
2070000 308.54644 -10999.375 1217.5847 -7022.6349 10.73834
2075000 296.54384 -11081.819 1235.097 -7194.8995 -4.0299952
